date,year,month,month_num,sa_1st,sa_2nd,sa_3rd,sa_rev_2nd_minus_1st,sa_rev_3rd_minus_2nd,sa_rev_3rd_minus_1st,nsa_1st,nsa_2nd,nsa_3rd,nsa_rev_2nd_minus_1st,nsa_rev_3rd_minus_2nd,nsa_rev_3rd_minus_1st,source_url,scraped_at
1979-01-01,1979,Jan.,1,325.0,184.0,243.0,-141.0,59.0,-82.0,-1681.0,-1818.0,-1759.0,-137.0,59.0,-78.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1979-02-01,1979,Feb.,2,301.0,308.0,294.0,7.0,-14.0,-7.0,205.0,208.0,192.0,3.0,-16.0,-13.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1979-03-01,1979,Mar.,3,324.0,422.0,445.0,98.0,23.0,121.0,740.0,836.0,859.0,96.0,23.0,119.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1979-04-01,1979,Apr.,4,72.0,4.0,-15.0,-68.0,-19.0,-87.0,679.0,611.0,596.0,-68.0,-15.0,-83.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1979-05-01,1979,May,5,171.0,268.0,291.0,97.0,23.0,120.0,716.0,809.0,835.0,93.0,26.0,119.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1979-06-01,1979,Jun.,6,97.0,170.0,225.0,73.0,55.0,128.0,697.0,772.0,826.0,75.0,54.0,129.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1979-07-01,1979,Jul.,7,44.0,49.0,87.0,5.0,38.0,43.0,-904.0,-895.0,-923.0,9.0,-28.0,-19.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1979-08-01,1979,Aug.,8,2.0,5.0,49.0,3.0,44.0,47.0,6.0,15.0,55.0,9.0,40.0,49.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1979-09-01,1979,Sep.,9,135.0,83.0,41.0,-52.0,-42.0,-94.0,631.0,582.0,538.0,-49.0,-44.0,-93.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1979-10-01,1979,Oct.,10,306.0,164.0,179.0,-142.0,15.0,-127.0,596.0,456.0,467.0,-140.0,11.0,-129.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1979-11-01,1979,Nov.,11,218.0,127.0,118.0,-91.0,-9.0,-100.0,320.0,230.0,224.0,-90.0,-6.0,-96.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1979-12-01,1979,Dec.,12,317.0,131.0,141.0,-186.0,10.0,-176.0,271.0,98.0,107.0,-173.0,9.0,-164.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1980-01-01,1980,Jan.,1,305.0,349.0,411.0,44.0,62.0,106.0,-1824.0,-1784.0,-1724.0,40.0,60.0,100.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1980-02-01,1980,Feb.,2,141.0,122.0,193.0,-19.0,71.0,52.0,76.0,61.0,132.0,-15.0,71.0,56.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1980-03-01,1980,Mar.,3,-140.0,-46.0,-26.0,94.0,20.0,114.0,428.0,525.0,543.0,97.0,18.0,115.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1980-04-01,1980,Apr.,4,-479.0,-311.0,-193.0,168.0,118.0,286.0,169.0,335.0,445.0,166.0,110.0,276.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1980-05-01,1980,May,5,-180.0,-349.0,-483.0,-169.0,-134.0,-303.0,311.0,227.0,88.0,-84.0,-139.0,-223.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1980-06-01,1980,Jun.,6,-514.0,-495.0,-421.0,19.0,74.0,93.0,102.0,126.0,200.0,24.0,74.0,98.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1980-07-01,1980,Jul.,7,-238.0,-182.0,-180.0,56.0,2.0,58.0,-1293.0,-1234.0,-1229.0,59.0,5.0,64.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1980-08-01,1980,Aug.,8,201.0,242.0,275.0,41.0,33.0,74.0,194.0,226.0,252.0,32.0,26.0,58.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
