date,value,type,projection_date
2017Q1,62.876,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2017Q2,62.828,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2017Q3,62.954,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2017Q4,62.735,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2018Q1,62.877,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2018Q2,62.838,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2018Q3,62.783,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2018Q4,62.974,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2019Q1,63.131,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2019Q2,62.851,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2019Q3,63.126,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2019Q4,63.231,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2020Q1,63.186,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2020Q2,63.144,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2020Q3,63.1,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2020Q4,63.054,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2021Q1,63.006,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2021Q2,62.953,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2021Q3,62.897,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2021Q4,62.838,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2022Q1,62.776,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2022Q2,62.71,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2022Q3,62.642,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2022Q4,62.572,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2023Q1,62.499,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2023Q2,62.425,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2023Q3,62.348,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2023Q4,62.27,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2024Q1,62.19,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2024Q2,62.109,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2024Q3,62.027,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2024Q4,61.943,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
2025Q1,61.859,"Labor Force Participation Rate, 16 Years or Older","CBO Projections, Jan, 2020 (pre-covid)"
