date,1-month revision,2-month revision
2025-01-01,-18,-14
2025-02-01,-34,-15
2025-03-01,-43,-65
2025-04-01,-30,
2025-05-01,,
2025-06-01,,
2025-07-01,,
2025-08-01,,
2025-09-01,,
2025-10-01,,
2025-11-01,,
2025-12-01,,
2024-01-01,-124,27
2024-02-01,-5,-34
2024-03-01,12,-5
2024-04-01,-10,-57
2024-05-01,-54,-2
2024-06-01,-27,-61
2024-07-01,-25,55
2024-08-01,17,-81
2024-09-01,-31,32
2024-10-01,24,7
2024-11-01,-15,49
2024-12-01,51,16
2023-01-01,-13,-32
2023-02-01,15,-78
2023-03-01,-71,52
2023-04-01,41,-77
2023-05-01,-33,-25
2023-06-01,-24,-80
2023-07-01,-30,79
2023-08-01,40,-62
2023-09-01,-39,-34
2023-10-01,0,-45
2023-11-01,-26,9
2023-12-01,117,-43
2022-01-01,14,23
2022-02-01,72,-36
2022-03-01,-3,-30
2022-04-01,8,-68
2022-05-01,-6,2
2022-06-01,26,-105
2022-07-01,-2,11
2022-08-01,0,-23
2022-09-01,52,-46
2022-10-01,23,-21
2022-11-01,-7,34
2022-12-01,37,-21
2021-01-01,117,67
2021-02-01,89,68
2021-03-01,-146,15
2021-04-01,12,-9
2021-05-01,24,31
2021-06-01,88,24
2021-07-01,110,38
2021-08-01,131,117
2021-09-01,118,67
2021-10-01,15,102
2021-11-01,39,398
2021-12-01,311,78
2020-01-01,48,-59
2020-02-01,2,-24
2020-03-01,-180,-492
2020-04-01,-150,-100
2020-05-01,190,26
2020-06-01,-9,-10
2020-07-01,-29,27
2020-08-01,118,4
2020-09-01,11,39
2020-10-01,-28,44
2020-11-01,91,-72
2020-12-01,-87,-79
2019-01-01,7,1
2019-02-01,13,23
2019-03-01,-7,-36
2019-04-01,-39,-8
2019-05-01,-3,-10
2019-06-01,-31,-15
2019-07-01,-5,7
2019-08-01,38,51
2019-09-01,44,13
2019-10-01,28,-4
2019-11-01,-10,5
2019-12-01,2,37
2018-01-01,39,-63
2018-02-01,13,-2
2018-03-01,32,20
2018-04-01,-5,16
2018-05-01,21,24
2018-06-01,35,-40
2018-07-01,-10,18
2018-08-01,69,16
2018-09-01,-16,1
2018-10-01,-13,37
2018-11-01,21,20
2018-12-01,-90,5
2017-01-01,11,-22
2017-02-01,-16,13
2017-03-01,-19,-29
2017-04-01,-37,33
2017-05-01,14,-7
2017-06-01,9,-21
2017-07-01,-20,-51
2017-08-01,13,39
2017-09-01,51,20
2017-10-01,-17,-33
2017-11-01,24,-36
2017-12-01,12,15
2016-01-01,21,-4
2016-02-01,3,-12
2016-03-01,-7,-22
2016-04-01,-37,21
2016-05-01,-27,13
2016-06-01,5,-21
2016-07-01,20,-23
2016-08-01,16,9
2016-09-01,35,17
2016-10-01,-19,-7
2016-11-01,26,-40
2016-12-01,1,-2
2015-01-01,-18,-38
2015-02-01,-31,2
2015-03-01,-41,34
2015-04-01,-2,-34
2015-05-01,-26,6
2015-06-01,8,14
2015-07-01,30,-22
2015-08-01,-37,17
2015-09-01,-5,8
2015-10-01,27,9
2015-11-01,41,28
2015-12-01,-30,9
2014-01-01,16,15
2014-02-01,22,25
2014-03-01,11,0
2014-04-01,-6,22
2014-05-01,7,5
2014-06-01,10,-31
2014-07-01,3,31
2014-08-01,38,23
2014-09-01,8,15
2014-10-01,29,18
2014-11-01,32,70
2014-12-01,77,0
2013-01-01,-38,29
2013-02-01,32,64
2013-03-01,50,4
