date,month,year,payems,sa_1st,sa_2nd,sa_3rd,sa_rev_2nd_1st,sa_rev_3rd_2nd,sa_rev_3rd_1st,nsa_1st,nsa_2nd,nsa_3rd,nsa_rev_2nd_1st,nsa_rev_3rd_2nd,nsa_rev_3rd_1st
1979-01-01,Jan.,1979,88808,325,184,243,-141,59,-82,-1681,-1818,-1759,-137,59,-78
1979-02-01,Feb.,1979,89055,301,308,294,7,-14,-7,205,208,192,3,-16,-13
1979-03-01,Mar.,1979,89479,324,422,445,98,23,121,740,836,859,96,23,119
1979-04-01,Apr.,1979,89417,72,4,-15,-68,-19,-87,679,611,596,-68,-15,-83
1979-05-01,May,1979,89789,171,268,291,97,23,120,716,809,835,93,26,119
1979-06-01,Jun.,1979,90108,97,170,225,73,55,128,697,772,826,75,54,129
1979-07-01,Jul.,1979,90217,44,49,87,5,38,43,-904,-895,-923,9,-28,-19
1979-08-01,Aug.,1979,90300,2,5,49,3,44,47,6,15,55,9,40,49
1979-09-01,Sep.,1979,90327,135,83,41,-52,-42,-94,631,582,538,-49,-44,-93
1979-10-01,Oct.,1979,90481,306,164,179,-142,15,-127,596,456,467,-140,11,-129
1979-11-01,Nov.,1979,90573,218,127,118,-91,-9,-100,320,230,224,-90,-6,-96
1979-12-01,Dec.,1979,90672,317,131,141,-186,10,-176,271,98,107,-173,9,-164
1980-01-01,Jan.,1980,90800,305,349,411,44,62,106,-1824,-1784,-1724,40,60,100
1980-02-01,Feb.,1980,90883,141,122,193,-19,71,52,76,61,132,-15,71,56
1980-03-01,Mar.,1980,90994,-140,-46,-26,94,20,114,428,525,543,97,18,115
1980-04-01,Apr.,1980,90849,-479,-311,-193,168,118,286,169,335,445,166,110,276
1980-05-01,May,1980,90420,-180,-349,-483,-169,-134,-303,311,227,88,-84,-139,-223
1980-06-01,Jun.,1980,90101,-514,-495,-421,19,74,93,102,126,200,24,74,98
1980-07-01,Jul.,1980,89840,-238,-182,-180,56,2,58,-1293,-1234,-1229,59,5,64
1980-08-01,Aug.,1980,90099,201,242,275,41,33,74,194,226,252,32,26,58
1980-09-01,Sep.,1980,90213,187,223,242,36,19,55,618,646,657,28,11,39
1980-10-01,Oct.,1980,90490,257,228,326,-29,98,69,524,503,603,-21,100,79
1980-11-01,Nov.,1980,90747,268,207,251,-61,44,-17,379,320,361,-59,41,-18
1980-12-01,Dec.,1980,90943,205,155,164,-50,9,-41,180,146,153,-34,7,-27
