
Month,Year,SA_1st,SA_2nd,SA_3rd,SA_Rev_2nd_1st,SA_Rev_3rd_2nd,SA_Rev_3rd_1st,NSA_1st,NSA_2nd,NSA_3rd,NSA_Rev_2nd_1st,NSA_Rev_3rd_2nd,NSA_Rev_3rd_1st
Jan.,1979,325.0,184.0,243.0,-141.0,59.0,-82.0,-1681.0,-1818.0,-1759.0,-137.0,59.0,-78.0
Feb.,1979,301.0,308.0,294.0,7.0,-14.0,-7.0,205.0,208.0,192.0,3.0,-16.0,-13.0
Mar.,1979,324.0,422.0,445.0,98.0,23.0,121.0,740.0,836.0,859.0,96.0,23.0,119.0
Apr.,1979,72.0,4.0,-15.0,-68.0,-19.0,-87.0,679.0,611.0,596.0,-68.0,-15.0,-83.0
May,1979,171.0,268.0,291.0,97.0,23.0,120.0,716.0,809.0,835.0,93.0,26.0,119.0
Jun.,1979,97.0,170.0,225.0,73.0,55.0,128.0,697.0,772.0,826.0,75.0,54.0,129.0
Jul.,1979,44.0,49.0,87.0,5.0,38.0,43.0,-904.0,-895.0,-923.0,9.0,-28.0,-19.0
Aug.,1979,2.0,5.0,49.0,3.0,44.0,47.0,6.0,15.0,55.0,9.0,40.0,49.0
Sep.,1979,135.0,83.0,41.0,-52.0,-42.0,-94.0,631.0,582.0,538.0,-49.0,-44.0,-93.0
Oct.,1979,306.0,164.0,179.0,-142.0,15.0,-127.0,596.0,456.0,467.0,-140.0,11.0,-129.0
Nov.,1979,218.0,127.0,118.0,-91.0,-9.0,-100.0,320.0,230.0,224.0,-90.0,-6.0,-96.0
Dec.,1979,317.0,131.0,141.0,-186.0,10.0,-176.0,271.0,98.0,107.0,-173.0,9.0,-164.0
Jan.,1980,305.0,349.0,411.0,44.0,62.0,106.0,-1824.0,-1784.0,-1724.0,40.0,60.0,100.0
Feb.,1980,141.0,122.0,193.0,-19.0,71.0,52.0,76.0,61.0,132.0,-15.0,71.0,56.0
Mar.,1980,-140.0,-46.0,-26.0,94.0,20.0,114.0,428.0,525.0,543.0,97.0,18.0,115.0
Apr.,1980,-479.0,-311.0,-193.0,168.0,118.0,286.0,169.0,335.0,445.0,166.0,110.0,276.0
May,1980,-180.0,-349.0,-483.0,-169.0,-134.0,-303.0,311.0,227.0,88.0,-84.0,-139.0,-223.0
Jun.,1980,-514.0,-495.0,-421.0,19.0,74.0,93.0,102.0,126.0,200.0,24.0,74.0,98.0
Jul.,1980,-238.0,-182.0,-180.0,56.0,2.0,58.0,-1293.0,-1234.0,-1229.0,59.0,5.0,64.0
Aug.,1980,201.0,242.0,275.0,41.0,33.0,74.0,194.0,226.0,252.0,32.0,26.0,58.0
Sep.,1980,187.0,223.0,242.0,36.0,19.0,55.0,618.0,646.0,657.0,28.0,11.0,39.0
Oct.,1980,257.0,228.0,326.0,-29.0,98.0,69.0,524.0,503.0,603.0,-21.0,100.0,79.0
Nov.,1980,268.0,207.0,251.0,-61.0,44.0,-17.0,379.0,320.0,361.0,-59.0,41.0,-18.0
Dec.,1980,205.0,155.0,164.0,-50.0,9.0,-41.0,180.0,146.0,153.0,-34.0,7.0,-27.0
Jan.,1981,374.0,374.0,356.0,0.0,-18.0,-18.0,-1750.0,-1748.0,-1764.0,2.0,-16.0,-14.0
Feb.,1981,51.0,163.0,171.0,112.0,8.0,120.0,49.0,154.0,163.0,105.0,9.0,114.0
Mar.,1981,1.0,62.0,53.0,61.0,-9.0,52.0,523.0,583.0,572.0,60.0,-11.0,49.0
Apr.,1981,-220.0,-215.0,111.0,5.0,326.0,331.0,537.0,546.0,520.0,9.0,-26.0,-17.0
May,1981,-16.0,72.0,106.0,88.0,34.0,122.0,497.0,479.0,511.0,-18.0,32.0,14.0
Jun.,1981,-14.0,19.0,51.0,33.0,32.0,65.0,562.0,598.0,633.0,36.0,35.0,71.0
Jul.,1981,383.0,351.0,265.0,-32.0,-86.0,-118.0,-766.0,-796.0,-881.0,-30.0,-85.0,-115.0
Aug.,1981,61.0,49.0,21.0,-12.0,-28.0,-40.0,82.0,26.0,-2.0,-56.0,-28.0,-84.0
Sep.,1981,-54.0,47.0,132.0,101.0,85.0,186.0,400.0,481.0,561.0,81.0,80.0,161.0
Oct.,1981,-205.0,-235.0,-201.0,-30.0,34.0,4.0,253.0,230.0,265.0,-23.0,35.0,12.0
Nov.,1981,-237.0,-333.0,-310.0,-96.0,23.0,-73.0,-58.0,-152.0,-131.0,-94.0,21.0,-73.0
Dec.,1981,-293.0,-426.0,-409.0,-133.0,17.0,-116.0,-257.0,-378.0,-361.0,-121.0,17.0,-104.0
Jan.,1982,-237.0,-274.0,-234.0,-37.0,40.0,3.0,-2134.0,-2172.0,-2133.0,-38.0,39.0,1.0
Feb.,1982,97.0,161.0,140.0,64.0,-21.0,43.0,103.0,165.0,146.0,62.0,-19.0,43.0
Mar.,1982,-218.0,-259.0,-155.0,-41.0,104.0,63.0,291.0,247.0,-266.0,-44.0,-513.0,-557.0
