Date,Month,Year,SA_1st,SA_2nd,SA_3rd,SA_2nd_minus_1st,SA_3rd_minus_2nd,SA_3rd_minus_1st,NSA_1st,NSA_2nd,NSA_3rd,NSA_2nd_minus_1st,NSA_3rd_minus_2nd,NSA_3rd_minus_1st
2025-01-01,Jan.,2025,143.0,125.0,111.0,-18.0,-14.0,-32.0,-2852.0,-2831.0,-2828.0,21.0,3.0,24.0
2025-02-01,Feb.,2025,151.0,117.0,102.0,-34.0,-15.0,-49.0,891.0,855.0,849.0,-36.0,-6.0,-42.0
2025-03-01,Mar.,2025,228.0,185.0,120.0,-43.0,-65.0,-108.0,556.0,467.0,458.0,-89.0,-9.0,-98.0
2025-04-01,Apr.,2025,177.0,147.0,158.0,-30.0,11.0,-19.0,905.0,836.0,825.0,-69.0,-11.0,-80.0
2025-05-01,May,2025,139.0,144.0,19,5.0,-125,-120,726.0,731.0,,5.0,,
2025-06-01,Jun.,2025,147.0,14,,-133,,,517.0,,,,,
2025-07-01,Jul.,2025,73,,,,,,,,,,,
2025-08-01,Aug.,2025,,,,,,,,,,,,
2025-09-01,Sep.,2025,,,,,,,,,,,,
2025-10-01,Oct.,2025,,,,,,,,,,,,
2025-11-01,Nov.,2025,,,,,,,,,,,,
2025-12-01,Dec.,2025,,,,,,,,,,,,
,Mean revision,2025,,,,,,,,,,,,
,Mean absolute revision,2025,,,,,,,,,,,,
2024-01-01,Jan.,2024,353.0,229.0,256.0,-124.0,27.0,-97.0,-2635.0,-2855.0,-2837.0,-220.0,18.0,-202.0
2024-02-01,Feb.,2024,275.0,270.0,236.0,-5.0,-34.0,-39.0,1141.0,1127.0,1119.0,-14.0,-8.0,-22.0
2024-03-01,Mar.,2024,303.0,315.0,310.0,12.0,-5.0,7.0,659.0,662.0,659.0,3.0,-3.0,0.0
2024-04-01,Apr.,2024,175.0,165.0,108.0,-10.0,-57.0,-67.0,803.0,791.0,791.0,-12.0,0.0,-12.0
2024-05-01,May,2024,272.0,218.0,216.0,-54.0,-2.0,-56.0,917.0,844.0,841.0,-73.0,-3.0,-76.0
2024-06-01,Jun.,2024,206.0,179.0,118.0,-27.0,-61.0,-88.0,547.0,518.0,499.0,-29.0,-19.0,-48.0
2024-07-01,Jul.,2024,114.0,89.0,144.0,-25.0,55.0,30.0,-915.0,-954.0,-942.0,-39.0,12.0,-27.0
2024-08-01,Aug.,2024,142.0,159.0,78.0,17.0,-81.0,-64.0,263.0,318.0,332.0,55.0,14.0,69.0
2024-09-01,Sep.,2024,254.0,223.0,255.0,-31.0,32.0,1.0,460.0,450.0,453.0,-10.0,3.0,-7.0
2024-10-01,Oct.,2024,12.0,36.0,43.0,24.0,7.0,31.0,826.0,851.0,846.0,25.0,-5.0,20.0
2024-11-01,Nov.,2024,227.0,212.0,261.0,-15.0,49.0,34.0,525.0,509.0,530.0,-16.0,21.0,5.0
2024-12-01,Dec.,2024,256.0,307.0,323.0,51.0,16.0,67.0,-81.0,61.0,41.0,142.0,-20.0,122.0
,Mean revision,2024,,,,-16.0,-5.0,-20.0,,,,-16.0,1.0,-15.0
,Mean absolute revision,2024,,,,33.0,36.0,48.0,,,,53.0,11.0,51.0
