series_id,series_title
LNS14000000,(Seas) Unemployment Rate
LNS14000001,(Seas) Unemployment Rate - Men
LNS14000002,(Seas) Unemployment Rate - Women
LNS14000003,(Seas) Unemployment Rate - White
LNS14000004,(Seas) Unemployment Rate - White Men
LNS14000005,(Seas) Unemployment Rate - White Women
LNS14000006,(Seas) Unemployment Rate - Black or African American
LNS14000007,(Seas) Unemployment Rate - Black or African American Men
LNS14000008,(Seas) Unemployment Rate - Black or African American Women
LNS14000009,(Seas) Unemployment Rate - Hispanic or Latino
LNS14000012,(Seas) Unemployment Rate - 16-19 yrs.
LNS14000013,"(Seas) Unemployment Rate - 16-19 yrs., Men"
LNS14000014,"(Seas) Unemployment Rate - 16-19 yrs., Women"
LNS14000015,"(Seas) Unemployment Rate - 16-19 yrs., White"
LNS14000016,"(Seas) Unemployment Rate - 16-19 yrs., White Men"
LNS14000017,"(Seas) Unemployment Rate - 16-19 yrs., White Women"
LNS14000018,"(Seas) Unemployment Rate - 16-19 yrs., Black or African American"
LNS14000019,"(Seas) Unemployment Rate - 16-19 yrs., Black or African American Men"
LNS14000020,"(Seas) Unemployment Rate - 16-19 yrs., Black or African American Women"
LNS14000021,"(Seas) Unemployment Rate - 16-19 yrs., Hispanic or Latino"
LNS14000022,"(Seas) Unemployment Rate - 16-19 yrs., Hispanic or Latino, Men"
LNS14000023,"(Seas) Unemployment Rate - 16-19 yrs., Hispanic or Latino, Women"
LNS14000024,(Seas) Unemployment Rate - 20 yrs. & over
LNS14000025,"(Seas) Unemployment Rate - 20 yrs. & over, Men"
LNS14000026,"(Seas) Unemployment Rate - 20 yrs. & over, Women"
LNS14000027,"(Seas) Unemployment Rate - 20 yrs. & over, White"
LNS14000028,"(Seas) Unemployment Rate - 20 yrs. & over, White Men"
LNS14000029,"(Seas) Unemployment Rate - 20 yrs. & over, White Women"
LNS14000030,"(Seas) Unemployment Rate - 20 yrs. & over, Black or African American"
LNS14000031,"(Seas) Unemployment Rate - 20 yrs. & over, Black or African American Men"
LNS14000032,"(Seas) Unemployment Rate - 20 yrs. & over, Black or African American Women"
LNS14000033,"(Seas) Unemployment Rate - 20 yrs. & over, Hispanic or Latino"
LNS14000034,"(Seas) Unemployment Rate - 20 yrs. & over, Hispanic or Latino, Men"
LNS14000035,"(Seas) Unemployment Rate - 20 yrs. & over, Hispanic or Latino, Women"
LNS14000036,(Seas) Unemployment Rate - 20-24 yrs.
LNS14000037,"(Seas) Unemployment Rate - 20-24 yrs., Men"
LNS14000038,"(Seas) Unemployment Rate - 20-24 yrs., Women"
LNS14000048,(Seas) Unemployment Rate - 25 yrs. & over
LNS14000049,"(Seas) Unemployment Rate - 25 yrs. & over, Men"
LNS14000050,"(Seas) Unemployment Rate - 25 yrs. & over, Women"
LNS14000060,(Seas) Unemployment Rate - 25-54 yrs.
LNS14000061,"(Seas) Unemployment Rate - 25-54 yrs., Men"
LNS14000062,"(Seas) Unemployment Rate - 25-54 yrs., Women"
LNS14000086,(Seas) Unemployment Rate - 16-17 yrs.
LNS14000088,(Seas) Unemployment Rate - 18-19 yrs.
LNS14000089,(Seas) Unemployment Rate - 25-34 yrs.
LNS14000091,(Seas) Unemployment Rate - 35-44 yrs.
LNS14000093,(Seas) Unemployment Rate - 45-54 yrs.
LNS14000150,(Seas) Unemployment Rate - Married Men
LNS14000152,"(Seas) Unemployment Rate - 16-17 yrs., Men"
LNS14000154,"(Seas) Unemployment Rate - 18-19 yrs., Men"
LNS14000164,"(Seas) Unemployment Rate - 25-34 yrs., Men"
LNS14000173,"(Seas) Unemployment Rate - 35-44 yrs., Men"
LNS14000182,"(Seas) Unemployment Rate - 45-54 yrs., Men"
LNS14000315,(Seas) Unemployment Rate - Married Women
LNS14000317,"(Seas) Unemployment Rate - 16-17 yrs., Women"
LNS14000319,"(Seas) Unemployment Rate - 18-19 yrs., Women"
LNS14000327,"(Seas) Unemployment Rate - 25-34 yrs., Women"
LNS14000334,"(Seas) Unemployment Rate - 35-44 yrs., Women"
LNS14000341,"(Seas) Unemployment Rate - 45-54 yrs., Women"
LNS14023557,(Seas) Unemployment Rate - Reentrants to Labor Force
LNS14023569,(Seas) Unemployment Rate - New Entrants
LNS14023621,(Seas) Unemployment rate - Job losers (U-2)
LNS14023705,(Seas) Unemployment Rate - Job Leavers
LNS14024230,(Seas) Unemployment Rate - 55 yrs. & over
LNS14024231,"(Seas) Unemployment Rate - 55 yrs. & over, Men"
LNS14024232,"(Seas) Unemployment Rate - 55 yrs. & over, Women"
LNS14024885,"(Seas) Unemployment Rate - 16-24 yrs., Men"
LNS14024886,"(Seas) Unemployment Rate - 16-24 yrs., Women"
LNS14024887,(Seas) Unemployment Rate - 16-24 yrs.
LNS14025669,(Seas) Unemployment Rate - Married
LNS14027659,"(Seas) Unemployment Rate - Less than a High School Diploma, 25 yrs. & over"
LNS14027660,"(Seas) Unemployment Rate - High School Graduates, No College, 25 yrs. & over"
LNS14027662,"(Seas) Unemployment Rate - Bachelor's degree and higher, 25 yrs. & over"
LNS14027689,"(Seas) Unemployment Rate - Some College or Associate Degree, 25 yrs. & over"
LNS14032183,(Seas) Unemployment Rate - Asian
LNS14049526,"(Seas) Unemployment Rate - Veterans, 18 years and over"
LNS14049527,"(Seas) Unemployment Rate - Veterans, 18 years and over, Men"
LNS14049601,"(Seas) Unemployment Rate - Nonveterans, 18 years and over"
LNS14049602,"(Seas) Unemployment Rate - Nonveterans, 18 years and over, Men"
